Cust_Reviews,Brands,Polarity
Ever since I switched to the P20 Pro from the Pixel 2 I've fallen in love with the P series phones and I won't be switching for a long time. The P30 pro is an amazing device and in my opinion unparalleled compared to the other flagship,huawei,1
Cool,huawei,1
"I love this phone. I also have a Note 8 comparatively. Macro, zoom and night shooting are unbelievable. I love being able to control my TV with the IR blaster too. Best camera ever",huawei,1
"No full support on T-Mobile’s network, missing bands 66 and 71, T-Mobile just flipped the switch in Chicago with its 71 band and oh boy! It really makes a difference. Not a 4K video, no a super screen like Galaxy phones, some pictures are different colors when taken with different lenses.a micro SD memory card? All for that amount of money? If you have a Galaxy or iPhone you are going to notice the big difference on emui(the skin on the android system, setting) that thing it is a punishment for you eyes, not even close to iOS or Galaxy plus the poor screen or low pixels density makes your eyes cry , if you want to add memory to it , will cost you around $45 for a nano 64g memory card, in areas where a Galaxy 10 plus tmobile has a download speeds of 45 Mbps this thing would give you around 15 Mbps , let alone where Tmobile phone can not get a decent signal. Indoor pictures a close range on people look terrible,it can not get the people's skin tone right, try the shoot a video using 4 k you will be so disappointed because again the colors look washed out.",huawei,0
"Really love this phone. I used to have 2 phones, one for Myanmar and one for US. Now with 2 Sims card, I can enjoy 2 in one. The phone is really light, amazing battery life. I use ATT Sim card for US with no issues.",huawei,1
"I only use a smart phone for phone and some message texting. I have no need for all Google apps. However, I have heard raving reviews about the P30 Pro's picture and video taking ability. I travel quite a bit, mostly overseas. Carrying even a small camera is a bit bulky. Also, when I go to concerts or jazz clubs at night, the camera's night photo/video taking capability is less than an iPhone. So, I bought this P30 Pro, highly recommended in reviews and by some of my friends. I have used it and it certainly performs to its acclaims and exceeds my expectations. I can carry it around in my pocket, very convenient. The triple lens can get a 3 dimensional image, incredibly sharp with depth. I have yet to try out the zoom feature. It is also rated high.",huawei,1
battery completely ruined took forever get refund,Iphone,0
"live in Michigan, but not supported??? its weird. having trouble at times going back to main menu.",huawei,0
Nice phone!,huawei,1
"I was seriously considering the new i-phone but was really reluctant to pay a huge premium for a brand name and no memory expansion. It was with some reluctance that I ordered this P30-Pro. Having received and used it, I know I made the right choice.
I am running on T-Mobile. My area does not have the new bands so performance is essentially the same as on my old i-phone. Battery life is night and day. Even when new, my old phone struggled to make it through a full 24 hours. This thing just keeps going for 4 days.
Calls and audio work great. I disabled some of the Huwai features, interface is clean and easy to use. All of the apps are available in Play store and work great.
While I can not compare to the latest generation i-phone, I am really impressed with the camera. The zoom is an engineering marvel and night mode is stunning.
On a down note, It does use proprietary memory cards but, the good news is that those are available. I did order and install one, all good although more expensive than a standard memory card.
Only about a week into it but so far it is excellent. Will update if anything changes,",huawei,1
