,Cust_Reviews,Brands,Polarity,Positive,Negative
0,ever since i switch to the p20 pro from the pixel 2 ive fall in love with the p series phone and i wont be switch for a long time the p30 pro be an amaze device and in my opinion unparalleled compare to the other flagship,huawei,1,1,0
1,cool,huawei,1,1,0
2,i love this phone i also have a note 8 comparatively macro zoom and night shoot be unbelievable i love be able to control my tv with the ir blaster too best camera ever,huawei,1,1,0
3,no full support on tmobile s network miss band 66 and 71 tmobile just flip the switch in chicago with its 71 band and oh boy it really make a difference not a 4k video no a super screen like galaxy phone some picture be different color when take with different lensesa micro sd memory card all for that amount of money if you have a galaxy or iphone you be go to notice the big difference on emuithe skin on the android system set that thing it be a punishment for you eye not even close to ios or galaxy plus the poor screen or low pixels density make your eye cry if you want to add memory to it will cost you around 45 for a nano 64g memory card in areas where a galaxy 10 plus tmobile have a download speed of 45 mbps this thing would give you around 15 mbps let alone where tmobile phone can not get a decent signal indoor picture a close range on people look terribleit can not get the people skin tone right try the shoot a video use 4 k you will be so disappoint because again the color look wash out,huawei,0,0,1
4,really love this phone i use to have 2 phone one for myanmar and one for us now with 2 sims card i can enjoy 2 in one the phone be really light amaze battery life i use att sim card for us with no issue,huawei,1,1,0
5,i only use a smart phone for phone and some message texting i have no need for all google apps however i have hear rave review about the p30 pros picture and video take ability i travel quite a bite mostly overseas carry even a small camera be a bite bulky also when i go to concert or jazz club at night the cameras night photovideo take capability be less than an iphone so i buy this p30 pro highly recommend in review and by some of my friends i have use it and it certainly perform to its acclaim and exceed my expectations i can carry it around in my pocket very convenient the triple lens can get a 3 dimensional image incredibly sharp with depth i have yet to try out the zoom feature it be also rat high,huawei,1,1,0
6,battery completely ruin take forever get refund,Iphone,0,0,1
7,live in michigan but not support its weird have trouble at time go back to main menu,huawei,0,0,1
8,nice phone,huawei,1,1,0
9,i be seriously consider the new iphone but be really reluctant to pay a huge premium for a brand name and no memory expansion it be with some reluctance that i order this p30pro have receive and use it i know i make the right choice i be run on tmobile my area do not have the new band so performance be essentially the same as on my old iphone battery life be night and day even when new my old phone struggle to make it through a full 24 hours this thing just keep go for 4 days call and audio work great i disable some of the huwai feature interface be clean and easy to use all of the apps be available in play store and work great while i can not compare to the latest generation iphone i be really impress with the camera the zoom be an engineer marvel and night mode be stun on a down note it do use proprietary memory card but the good news be that those be available i do order and install one all good although more expensive than a standard memory card only about a week into it but so far it be excellent will update if anything change,huawei,1,1,0
10,phone be return charger and adaptor receive be not usable different terminals therefore you cant charge the 880 plus phone amazon should inform the seller about this saw one review with same issue email send to me from nj cannot be read i live in nj cant download music i have a p10 pro and it work fine look like the p30 pros functionality be affect by google update i still want to get one when the issue be resolve i believe it be a better phone,huawei,1,1,0
11,i have own a p20 pro for about 14 months and that phone be amaze didnt really expect much of a difference with the p30 pro however the look and feel of the p30 pro be stun to say the least its front camera quality be mindblowing havent explore the back its my greatest phone yet,huawei,1,1,0
12,description mislead unlock phone beware usable,LG,0,0,1
13,scam screen respond properly battery dy within one hour highly recommend one get product take amazon immediately want everyone make mistake buy horrible product,Iphone,0,0,1
14,disappoint order success previous refurbish phone however iphone 7 128 gb state unlock state verizon compatible clearly verizon tech state system phone another country whose system totally incompatible u carrier system spend hour verizon store purchase brand new phone watch try everything make refurbish work frustrate never refurbish phone thing,Iphone,0,0,1
15,phone work come damage top corner look drop,Iphone,0,0,1
16,although the phone be something to behold it be actually quite slippery in the hand i do not receive the factory issue case in the box so i have to wait until the one i order arrive the phone be a stun upgrade from my huawei p20 pro slimmer bigger screen the new navigation gesture be a little hard to get use to at first as i be not use the onscreen gesture that be an option the night option in the camera take spectacular low light photos out of the box i receive two update from huawei still wait on 10 overall would purchase again,huawei,1,1,0
17,iphone better partner up with cannon or someone that know about cameras because this thing be on fire android functionality sorth of suck but thats google haha yet if you be look for the best camera on a cellphone in the market this be it drop that old iphone tech and feel this phone work amaze super fast and feel great,huawei,1,1,0
18,i be a little hesitant read all the other review about it not work in america but i find it work great with google fi only thing be that my friends who have iphone and i cant send clear videos or picture through sms i sync my phone number to my hangout account and use that app to make call and send message camera be obviously advance so sometimes it more of a hindrance move from iphones ease of use i think over time ill get better at understand all the advance settings performance wise this phone be great fast load time and process overall very happy with my purchase,huawei,1,1,0
19,love it,huawei,1,1,0
20,super camera feature be the primary reason i buy this phone i use it on my recent europe trip and it really deliver i be very please with the result my picture quality be comparable to my husband s and my equipment cost 14 of his,huawei,1,1,0
21,i be glad that i didnt pay attention to the negative review i would have miss out in one of the best phone i ever have once i get it i just follow the instructions put in the att sim and it be ready to rock one unexpected benefit from this phone be the resection it be way better than my old lgv40 and samsung all my friends be amaze by the picture quality if you be in the state and not press to get on the 5g network this be the phone to get until all the 5g hype settle and the price go down,huawei,1,1,0
22,its a great phone look nice respond well have a decent amount of feature the only problems i have so far be that the call volume always seem a little low compare to my old galaxy phone even if the volume max it out it also doesnt seem to allow for expand storage and have no audio port which mean i cant hook it up to the nonbluetooth speakers in my car thankfully the phone builtin speakers work well enough to make up for that,huawei,1,1,0
23,battery horrible go bed 100 charge tab open wake 5 hour later 15,Iphone,0,0,1
